gene_id,transcript_id,transcript_position,label
ENSG00000090621,ENST00000372856,1698,0
ENSG00000169714,ENST00000451728,397,0
ENSG00000101773,ENST00000399722,3074,0
ENSG00000110880,ENST00000261401,2125,0
ENSG00000117724,ENST00000366955,8320,0
ENSG00000139921,ENST00000457354,624,0
ENSG00000105974,ENST00000341049,310,0
ENSG00000072849,ENST00000158771,1034,0
ENSG00000154237,ENST00000526457,10433,0
ENSG00000112245,ENST00000370651,1925,0
ENSG00000099901,ENST00000430524,934,0
ENSG00000170144,ENST00000435711,992,0
ENSG00000171793,ENST00000372621,2724,0
ENSG00000181610,ENST00000313608,889,0
ENSG00000090487,ENST00000204566,1354,1
ENSG00000154447,ENST00000284637,4750,0
ENSG00000185651,ENST00000342192,737,1
ENSG00000198728,ENST00000361198,1882,1
ENSG00000125450,ENST00000245544,967,0
ENSG00000115561,ENST00000263856,681,1
ENSG00000101210,ENST00000298049,528,0
ENSG00000079785,ENST00000381341,1931,0
ENSG00000188021,ENST00000338222,2554,0
ENSG00000139289,ENST00000266671,3611,1
ENSG00000164733,ENST00000353047,913,0
ENSG00000167635,ENST00000456324,2987,1
ENSG00000174243,ENST00000308025,2911,1
ENSG00000174243,ENST00000308025,2861,1
ENSG00000149792,ENST00000279242,1733,1
ENSG00000096384,ENST00000371554,1081,0
ENSG00000124783,ENST00000244763,2149,0
ENSG00000164733,ENST00000453527,1441,1
ENSG00000189060,ENST00000340857,338,1
ENSG00000147140,ENST00000490044,1951,0
ENSG00000101188,ENST00000370501,3567,0
ENSG00000108826,ENST00000225969,472,1
ENSG00000170027,ENST00000307630,863,1
ENSG00000163866,ENST00000521580,463,1
ENSG00000136238,ENST00000348035,1774,0
ENSG00000167792,ENST00000322776,891,0
ENSG00000135317,ENST00000314673,2795,0
ENSG00000108953,ENST00000466227,973,0
ENSG00000148229,ENST00000479871,2155,0
ENSG00000080824,ENST00000334701,1816,0
ENSG00000167985,ENST00000301761,727,1
ENSG00000168003,ENST00000338663,1821,0
ENSG00000128626,ENST00000407800,794,1
ENSG00000143621,ENST00000615950,1334,1
ENSG00000151729,ENST00000281456,535,1
ENSG00000065057,ENST00000219066,329,0
ENSG00000083857,ENST00000614102,13996,0
ENSG00000011009,ENST00000374514,317,0
ENSG00000100412,ENST00000216254,2012,0
ENSG00000141424,ENST00000269187,662,1
ENSG00000114767,ENST00000232888,486,0
ENSG00000167114,ENST00000300456,2198,1
ENSG00000124145,ENST00000372733,1088,0
ENSG00000135372,ENST00000257829,3713,1
ENSG00000100983,ENST00000216951,450,0
ENSG00000184640,ENST00000427177,2687,1
ENSG00000138768,ENST00000264904,2127,0
ENSG00000132823,ENST00000255174,843,1
ENSG00000167468,ENST00000588919,461,0
ENSG00000182534,ENST00000375036,1661,0
ENSG00000154723,ENST00000400094,235,0
ENSG00000121060,ENST00000316881,4371,0
ENSG00000060491,ENST00000370461,3704,0
ENSG00000256235,ENST00000526627,1306,1
ENSG00000090861,ENST00000261772,3046,1
ENSG00000104635,ENST00000381237,2506,0
ENSG00000161203,ENST00000292807,1444,1
ENSG00000156802,ENST00000287394,2190,0
ENSG00000117906,ENST00000394885,531,0
ENSG00000133983,ENST00000389912,597,0
ENSG00000114353,ENST00000313601,1435,1
ENSG00000172893,ENST00000355527,1352,1
ENSG00000084234,ENST00000263574,1333,0
ENSG00000122565,ENST00000409747,1122,0
ENSG00000120254,ENST00000367321,2224,0
ENSG00000120705,ENST00000499810,2898,0
ENSG00000147140,ENST00000276079,1662,1
ENSG00000088325,ENST00000300403,3157,0
ENSG00000214114,ENST00000397572,1826,0
ENSG00000069998,ENST00000336737,366,0
ENSG00000182768,ENST00000331497,1321,1
ENSG00000074696,ENST00000261875,1919,0
ENSG00000119185,ENST00000355346,434,0
ENSG00000174780,ENST00000342756,3543,1
ENSG00000196937,ENST00000359943,1316,0
ENSG00000167977,ENST00000301738,2116,0
ENSG00000159720,ENST00000290949,1376,1
ENSG00000204272,ENST00000637096,120,0
ENSG00000170144,ENST00000411529,2452,0
ENSG00000056097,ENST00000265069,3627,0
ENSG00000077147,ENST00000371142,2346,0
ENSG00000132361,ENST00000435359,4393,0
ENSG00000111716,ENST00000396076,618,0
ENSG00000160113,ENST00000291442,1987,1
ENSG00000102317,ENST00000354480,635,0
ENSG00000100129,ENST00000624234,1310,1
ENSG00000069482,ENST00000265643,613,0
ENSG00000110057,ENST00000227471,1893,1
ENSG00000172336,ENST00000303151,799,1
ENSG00000170881,ENST00000303545,1658,0
ENSG00000123091,ENST00000242719,2127,0
ENSG00000168439,ENST00000358794,2470,1
ENSG00000057019,ENST00000326840,2502,1
ENSG00000168040,ENST00000301838,688,1
ENSG00000108829,ENST00000225972,1617,0
ENSG00000224774,ENST00000451917,867,0
ENSG00000063660,ENST00000264039,1944,1
ENSG00000142230,ENST00000270225,1881,0
ENSG00000137492,ENST00000260045,769,0
ENSG00000133112,ENST00000529421,592,1
ENSG00000185624,ENST00000331483,952,0
ENSG00000174574,ENST00000432648,2468,0
ENSG00000106682,ENST00000265753,2400,0
ENSG00000141002,ENST00000263347,2226,1
ENSG00000090432,ENST00000264198,1925,1
ENSG00000129195,ENST00000572447,963,0
ENSG00000196365,ENST00000360614,3089,1
ENSG00000283633,ENST00000592918,600,0
ENSG00000146457,ENST00000337387,546,1
ENSG00000134684,ENST00000469100,1596,1
ENSG00000104979,ENST00000588234,734,1
ENSG00000184009,ENST00000576917,588,1
ENSG00000158850,ENST00000622395,2057,1
ENSG00000111144,ENST00000228740,511,0
ENSG00000105723,ENST00000222330,885,0
ENSG00000141568,ENST00000335255,2925,1
ENSG00000117411,ENST00000372324,1579,1
ENSG00000137962,ENST00000260526,3672,1
ENSG00000092820,ENST00000337147,2152,1
ENSG00000214160,ENST00000397676,1404,1
ENSG00000171867,ENST00000379440,532,1
ENSG00000030066,ENST00000378460,4074,0
ENSG00000105220,ENST00000356487,1151,0
ENSG00000171848,ENST00000304567,1754,0
ENSG00000106245,ENST00000222969,79,0
ENSG00000197345,ENST00000362034,545,0
ENSG00000204856,ENST00000377673,997,0
ENSG00000185787,ENST00000331268,705,0
ENSG00000251022,ENST00000504520,1925,1
ENSG00000101911,ENST00000380668,2479,0
ENSG00000129515,ENST00000396526,1338,0
ENSG00000170421,ENST00000550170,519,1
ENSG00000130309,ENST00000252599,3269,0
ENSG00000049449,ENST00000054950,1086,0
ENSG00000103018,ENST00000512062,963,0
ENSG00000105971,ENST00000222693,889,1
ENSG00000230989,ENST00000433866,1854,0
ENSG00000151923,ENST00000489822,2107,0
ENSG00000121060,ENST00000316881,5539,1
ENSG00000163938,ENST00000394799,213,0
ENSG00000115524,ENST00000335508,3599,0
ENSG00000196455,ENST00000356763,4804,0
ENSG00000126522,ENST00000304874,92,0
ENSG00000079246,ENST00000392132,1515,0
ENSG00000128973,ENST00000249806,1900,1
ENSG00000100316,ENST00000216146,1159,1
ENSG00000082781,ENST00000296181,1737,1
ENSG00000226417,ENST00000418285,157,0
ENSG00000107651,ENST00000369075,2917,0
ENSG00000196510,ENST00000455511,1954,0
ENSG00000196230,ENST00000327892,1169,1
ENSG00000178982,ENST00000248342,828,0
ENSG00000111667,ENST00000229268,1751,0
ENSG00000108106,ENST00000264552,828,1
ENSG00000130479,ENST00000324096,2828,1
ENSG00000167996,ENST00000534180,254,0
ENSG00000173334,ENST00000311922,352,1
ENSG00000217555,ENST00000264001,175,0
ENSG00000063241,ENST00000085068,953,1
ENSG00000153310,ENST00000522746,990,0
ENSG00000125970,ENST00000246194,464,0
ENSG00000109062,ENST00000262613,1253,1
ENSG00000126067,ENST00000373237,385,0
ENSG00000123989,ENST00000243776,2576,0
ENSG00000115756,ENST00000307845,1333,1
ENSG00000137309,ENST00000347617,474,1
ENSG00000126749,ENST00000599672,795,1
ENSG00000100462,ENST00000397441,323,0
ENSG00000138434,ENST00000431877,1360,1
ENSG00000174574,ENST00000432648,896,1
ENSG00000128951,ENST00000331200,1116,0
ENSG00000005884,ENST00000505306,4708,1
ENSG00000156928,ENST00000466681,540,0
ENSG00000141522,ENST00000269321,613,1
ENSG00000116209,ENST00000234831,1558,0
ENSG00000154640,ENST00000348354,941,0
ENSG00000117632,ENST00000399728,826,1
ENSG00000168209,ENST00000307365,726,1
ENSG00000136997,ENST00000621592,1947,1
ENSG00000067225,ENST00000335181,1947,1
ENSG00000214114,ENST00000397572,2122,0
ENSG00000113141,ENST00000417647,946,0
ENSG00000168906,ENST00000306434,294,0
ENSG00000061676,ENST00000361354,3841,0
ENSG00000111669,ENST00000229270,1410,1
ENSG00000110700,ENST00000526895,297,0
ENSG00000166200,ENST00000299259,1818,0
ENSG00000175745,ENST00000327111,2996,1
ENSG00000241553,ENST00000397261,1307,0
ENSG00000086061,ENST00000330899,1268,1
ENSG00000111530,ENST00000545606,4629,0
ENSG00000198517,ENST00000343242,2605,0
ENSG00000105612,ENST00000222219,1120,1
ENSG00000076248,ENST00000242576,517,0
ENSG00000074695,ENST00000251047,3649,0
ENSG00000243678,ENST00000503064,287,0
ENSG00000153574,ENST00000283646,902,0
ENSG00000089157,ENST00000228306,517,0
ENSG00000103966,ENST00000220325,1744,1
ENSG00000127528,ENST00000248071,1356,1
ENSG00000111832,ENST00000487832,866,0
ENSG00000103266,ENST00000219548,1154,1
ENSG00000119669,ENST00000238647,2718,1
ENSG00000167642,ENST00000301244,1114,1
ENSG00000010244,ENST00000394670,1760,0
ENSG00000185359,ENST00000329138,2697,1
ENSG00000167985,ENST00000301761,498,1
ENSG00000205339,ENST00000379719,3518,1
ENSG00000146729,ENST00000322090,393,0
ENSG00000239264,ENST00000379757,1663,1
ENSG00000169714,ENST00000422453,68,0
ENSG00000105568,ENST00000322088,2043,1
ENSG00000143761,ENST00000540651,739,1
ENSG00000130560,ENST00000371756,657,0
ENSG00000108055,ENST00000361804,3173,0
ENSG00000125611,ENST00000454841,716,1
ENSG00000171848,ENST00000360566,1513,0
ENSG00000143933,ENST00000272298,309,0
ENSG00000113719,ENST00000393784,950,0
ENSG00000076003,ENST00000264156,1501,0
ENSG00000178035,ENST00000429182,668,0
ENSG00000123064,ENST00000306014,2861,1
ENSG00000096384,ENST00000371554,1250,0
ENSG00000006451,ENST00000005257,2390,0
ENSG00000235067,ENST00000419792,1169,0
ENSG00000168522,ENST00000302279,1574,0
ENSG00000117899,ENST00000261758,1002,1
ENSG00000168286,ENST00000303596,1694,0
ENSG00000167157,ENST00000372469,1108,0
ENSG00000143811,ENST00000343818,1107,1
ENSG00000090263,ENST00000324787,306,1
ENSG00000186522,ENST00000356688,2160,0
ENSG00000157637,ENST00000374759,3824,1
ENSG00000104738,ENST00000523944,948,0
ENSG00000004478,ENST00000001008,1642,0
ENSG00000099995,ENST00000215793,2206,0
ENSG00000132581,ENST00000247020,1107,1
ENSG00000165502,ENST00000298289,229,1
ENSG00000113328,ENST00000340828,259,0
ENSG00000090273,ENST00000321265,904,0
ENSG00000181625,ENST00000330181,660,0
ENSG00000173692,ENST00000308696,2256,0
ENSG00000105393,ENST00000359435,1353,1
ENSG00000108826,ENST00000503633,648,1
ENSG00000096384,ENST00000620073,543,0
ENSG00000166189,ENST00000299238,1570,1
ENSG00000176108,ENST00000325167,1197,0
ENSG00000138073,ENST00000260643,1680,1
ENSG00000174231,ENST00000572621,6362,0
ENSG00000164134,ENST00000296543,3814,0
ENSG00000131016,ENST00000253332,5823,1
ENSG00000100664,ENST00000216554,1337,0
ENSG00000137161,ENST00000372836,1576,1
ENSG00000141522,ENST00000269321,737,1
ENSG00000180992,ENST00000372014,596,1
ENSG00000085719,ENST00000517490,1731,1
ENSG00000198015,ENST00000358678,1263,0
ENSG00000175216,ENST00000529230,5229,0
ENSG00000136997,ENST00000377970,1850,1
ENSG00000066557,ENST00000370952,2600,0
ENSG00000171552,ENST00000307677,1065,1
ENSG00000154473,ENST00000368865,1809,0
ENSG00000087460,ENST00000371095,449,0
ENSG00000169813,ENST00000357065,619,1
ENSG00000075618,ENST00000473330,1151,1
ENSG00000167508,ENST00000301012,1323,1
ENSG00000067704,ENST00000366922,865,0
ENSG00000128708,ENST00000264108,1541,0
ENSG00000106635,ENST00000223368,1422,1
ENSG00000014138,ENST00000265465,1137,0
ENSG00000255508,ENST00000526409,1035,0
ENSG00000084090,ENST00000337288,2546,0
ENSG00000244038,ENST00000602624,332,0
ENSG00000108829,ENST00000225972,2429,1
ENSG00000173141,ENST00000309594,450,1
ENSG00000109445,ENST00000262990,1146,1
ENSG00000064666,ENST00000263097,2090,0
ENSG00000149923,ENST00000566749,861,0
ENSG00000161547,ENST00000359995,503,1
ENSG00000142541,ENST00000488946,2121,1
ENSG00000063245,ENST00000270460,1902,0
ENSG00000184840,ENST00000332598,825,1
ENSG00000239264,ENST00000379757,1797,0
ENSG00000116285,ENST00000377482,1724,1
ENSG00000186395,ENST00000269576,1844,0
ENSG00000102178,ENST00000369660,2091,0
ENSG00000102030,ENST00000370015,480,0
ENSG00000109971,ENST00000227378,762,1
ENSG00000039123,ENST00000230640,1649,0
ENSG00000165732,ENST00000354185,2236,1
ENSG00000130881,ENST00000253193,2168,1
ENSG00000141367,ENST00000621829,4917,0
ENSG00000155660,ENST00000286091,1623,1
ENSG00000196937,ENST00000359943,1453,0
ENSG00000167526,ENST00000393099,661,0
ENSG00000198276,ENST00000354216,1110,0
ENSG00000058262,ENST00000243253,2492,1
ENSG00000111605,ENST00000435070,1737,0
ENSG00000141526,ENST00000581287,4037,1
ENSG00000165119,ENST00000376281,1844,0
ENSG00000167900,ENST00000301634,1073,1
ENSG00000126226,ENST00000337344,816,0
ENSG00000188529,ENST00000343255,2000,0
ENSG00000115884,ENST00000254351,1938,1
ENSG00000169692,ENST00000371696,604,0
ENSG00000129083,ENST00000249923,1729,0
ENSG00000159259,ENST00000314103,1673,0
ENSG00000134996,ENST00000346234,649,0
ENSG00000128609,ENST00000355749,1477,0
ENSG00000168283,ENST00000376663,2062,0
ENSG00000131747,ENST00000423485,4648,0
ENSG00000154813,ENST00000488423,93,0
ENSG00000164104,ENST00000446922,96,0
ENSG00000114867,ENST00000342981,5280,1
ENSG00000138802,ENST00000265175,4378,0
ENSG00000128272,ENST00000396680,1110,1
ENSG00000070761,ENST00000262498,525,0
ENSG00000093000,ENST00000347635,2161,0
ENSG00000111530,ENST00000545606,4384,0
ENSG00000115211,ENST00000347454,936,0
ENSG00000244038,ENST00000415136,1097,0
ENSG00000079246,ENST00000392132,2280,0
ENSG00000147649,ENST00000336273,153,0
ENSG00000166598,ENST00000299767,1891,0
ENSG00000167114,ENST00000300456,2297,1
ENSG00000131236,ENST00000372797,2244,1
ENSG00000167085,ENST00000300408,1438,1
ENSG00000102265,ENST00000218388,593,0
ENSG00000214114,ENST00000397572,1366,0
ENSG00000164951,ENST00000396200,3751,0
ENSG00000108021,ENST00000328090,8526,0
ENSG00000101189,ENST00000370487,880,1
ENSG00000158717,ENST00000312838,1704,1
ENSG00000143570,ENST00000356205,717,0
ENSG00000104824,ENST00000221419,1903,0
ENSG00000171224,ENST00000373279,376,0
ENSG00000126602,ENST00000246957,654,0
ENSG00000163866,ENST00000521580,704,1
ENSG00000007376,ENST00000007264,1293,1
ENSG00000160867,ENST00000292408,2522,0
ENSG00000125652,ENST00000245812,691,0
ENSG00000174437,ENST00000539276,1075,1
ENSG00000177697,ENST00000532045,1501,1
ENSG00000118816,ENST00000237654,1749,0
ENSG00000138434,ENST00000409136,2598,0
ENSG00000175061,ENST00000475953,492,0
ENSG00000169689,ENST00000392359,506,1
ENSG00000071626,ENST00000336761,2133,1
ENSG00000071127,ENST00000382452,2142,1
ENSG00000135829,ENST00000367549,1136,0
ENSG00000084754,ENST00000380649,293,0
ENSG00000235030,ENST00000435856,544,0
ENSG00000184076,ENST00000401406,220,0
ENSG00000108528,ENST00000225665,468,0
ENSG00000111206,ENST00000342628,1966,1
ENSG00000110092,ENST00000227507,1314,1
ENSG00000002587,ENST00000002596,2026,1
ENSG00000172270,ENST00000571735,1901,1
ENSG00000141551,ENST00000392334,710,0
ENSG00000141526,ENST00000392341,680,1
ENSG00000182628,ENST00000330137,2164,0
ENSG00000172270,ENST00000353555,574,0
ENSG00000198901,ENST00000361188,1565,0
ENSG00000088356,ENST00000202017,615,1
ENSG00000164104,ENST00000511316,395,0
ENSG00000239789,ENST00000285298,368,1
ENSG00000166333,ENST00000299421,536,0
ENSG00000167747,ENST00000345523,1215,0
ENSG00000163754,ENST00000345003,1602,0
ENSG00000163930,ENST00000460680,3691,1
ENSG00000117632,ENST00000399728,864,1
ENSG00000088986,ENST00000242577,164,0
ENSG00000108639,ENST00000225777,1125,1
ENSG00000130255,ENST00000579649,398,1
ENSG00000239306,ENST00000310137,1543,0
ENSG00000125304,ENST00000376387,1498,0
ENSG00000139180,ENST00000266544,996,0
ENSG00000142864,ENST00000370995,2963,0
ENSG00000163938,ENST00000394799,1337,0
ENSG00000226742,ENST00000451882,255,0
ENSG00000049860,ENST00000261416,672,0
ENSG00000196924,ENST00000422373,8089,1
ENSG00000172175,ENST00000348428,2120,0
ENSG00000171453,ENST00000372389,1286,0
ENSG00000259956,ENST00000563281,2768,1
ENSG00000124593,ENST00000487182,2682,0
ENSG00000158850,ENST00000622395,2006,1
ENSG00000141522,ENST00000269321,795,0
ENSG00000178896,ENST00000316052,684,1
ENSG00000204899,ENST00000377818,511,0
ENSG00000135046,ENST00000376911,1639,0
ENSG00000187514,ENST00000409115,147,1
ENSG00000100650,ENST00000553521,2310,1
ENSG00000144635,ENST00000273130,889,0
ENSG00000163931,ENST00000423516,1041,0
ENSG00000187840,ENST00000338825,423,1
ENSG00000005884,ENST00000505306,3856,0
ENSG00000177971,ENST00000314852,1713,1
ENSG00000149923,ENST00000279387,1231,1
ENSG00000175745,ENST00000327111,3214,1
ENSG00000168040,ENST00000301838,1446,1
ENSG00000117650,ENST00000366999,1923,0
ENSG00000184992,ENST00000341446,923,0
ENSG00000134294,ENST00000256689,350,0
ENSG00000155096,ENST00000337198,3928,0
ENSG00000111669,ENST00000613953,936,1
ENSG00000023041,ENST00000369405,779,0
ENSG00000103194,ENST00000219473,973,1
ENSG00000113161,ENST00000287936,3453,0
ENSG00000115652,ENST00000283148,790,0
ENSG00000141522,ENST00000269321,1367,1
ENSG00000153037,ENST00000505459,509,1
ENSG00000132963,ENST00000460403,247,0
ENSG00000164754,ENST00000297338,3461,0
ENSG00000105447,ENST00000253237,2227,1
ENSG00000123374,ENST00000266970,1218,1
ENSG00000093010,ENST00000361682,326,0
ENSG00000197498,ENST00000441448,548,0
ENSG00000162517,ENST00000373703,1310,0
ENSG00000105993,ENST00000429029,180,0
ENSG00000276045,ENST00000617316,993,1
ENSG00000184009,ENST00000576917,169,0
ENSG00000162980,ENST00000295087,2418,0
ENSG00000114784,ENST00000232905,906,0
ENSG00000088247,ENST00000594496,305,1
ENSG00000132341,ENST00000448750,883,1
ENSG00000116133,ENST00000371269,1760,1
ENSG00000142655,ENST00000356607,1687,0
ENSG00000100348,ENST00000216185,1683,0
ENSG00000105835,ENST00000222553,1152,0
ENSG00000198492,ENST00000373812,2573,0
ENSG00000139921,ENST00000457354,2130,0
ENSG00000179041,ENST00000320270,1219,0
ENSG00000120694,ENST00000320027,3343,0
ENSG00000126226,ENST00000337344,923,0
ENSG00000134057,ENST00000256442,1101,0
ENSG00000099942,ENST00000354336,4918,1
ENSG00000089154,ENST00000300648,6265,0
ENSG00000160201,ENST00000291552,772,0
ENSG00000188643,ENST00000368704,637,1
ENSG00000182087,ENST00000356663,1630,1
ENSG00000130816,ENST00000340748,4341,0
ENSG00000048828,ENST00000277165,2247,0
ENSG00000037897,ENST00000324871,1754,0
ENSG00000099622,ENST00000589710,1361,0
ENSG00000136942,ENST00000373570,111,0
ENSG00000090060,ENST00000216277,2230,0
ENSG00000161011,ENST00000389805,455,0
ENSG00000065833,ENST00000369705,2178,0
ENSG00000176393,ENST00000295640,1403,0
ENSG00000147400,ENST00000370277,805,0
ENSG00000112245,ENST00000370651,660,0
ENSG00000117899,ENST00000261758,1263,0
ENSG00000108395,ENST00000262294,3505,0
ENSG00000151729,ENST00000281456,546,0
ENSG00000141933,ENST00000359315,524,0
ENSG00000100142,ENST00000483713,435,0
ENSG00000165678,ENST00000372134,148,0
ENSG00000204673,ENST00000391835,1502,1
ENSG00000108654,ENST00000225792,2079,1
ENSG00000168092,ENST00000527958,2439,0
ENSG00000135486,ENST00000546500,1745,0
ENSG00000141582,ENST00000269397,2124,1
ENSG00000112110,ENST00000367034,276,0
ENSG00000187049,ENST00000334888,921,1
ENSG00000112378,ENST00000421351,619,1
ENSG00000076554,ENST00000518937,1326,0
ENSG00000149418,ENST00000278742,3063,1
ENSG00000159069,ENST00000483559,1939,1
ENSG00000087365,ENST00000528302,1238,0
ENSG00000010270,ENST00000009041,987,0
ENSG00000136986,ENST00000259512,1840,0
ENSG00000113312,ENST00000231238,1320,0
ENSG00000173171,ENST00000609421,838,1
ENSG00000149357,ENST00000278671,377,0
ENSG00000147140,ENST00000490044,2364,1
ENSG00000101421,ENST00000217402,770,0
ENSG00000196305,ENST00000375643,3254,0
ENSG00000143294,ENST00000271526,1681,0
ENSG00000164897,ENST00000297533,146,0
ENSG00000121022,ENST00000357849,843,0
ENSG00000145293,ENST00000273920,982,0
ENSG00000126698,ENST00000489277,780,0
ENSG00000101084,ENST00000344795,648,1
ENSG00000147677,ENST00000276682,961,0
ENSG00000122565,ENST00000337620,1571,0
ENSG00000109971,ENST00000534319,1788,0
ENSG00000277773,ENST00000618251,746,0
ENSG00000115762,ENST00000403716,4024,0
ENSG00000125912,ENST00000246117,2293,1
ENSG00000173726,ENST00000366607,327,0
ENSG00000233841,ENST00000496419,1461,0
ENSG00000162344,ENST00000294312,2021,1
ENSG00000103257,ENST00000565644,3499,1
ENSG00000147140,ENST00000490044,1988,0
ENSG00000184007,ENST00000602725,1064,0
ENSG00000160803,ENST00000368309,3338,1
ENSG00000125912,ENST00000246117,1740,0
ENSG00000147649,ENST00000336273,680,0
ENSG00000099875,ENST00000309340,1384,0
ENSG00000169727,ENST00000320548,566,0
ENSG00000086475,ENST00000327347,419,1
ENSG00000178966,ENST00000325875,3086,0
ENSG00000168078,ENST00000301905,1374,0
ENSG00000121892,ENST00000303538,4113,0
ENSG00000153130,ENST00000608372,1865,0
ENSG00000026508,ENST00000428726,2216,1
ENSG00000224156,ENST00000421473,1774,0
ENSG00000132423,ENST00000254759,753,0
ENSG00000185803,ENST00000329994,1820,1
ENSG00000143418,ENST00000271688,1564,1
ENSG00000143727,ENST00000272065,1264,0
ENSG00000227231,ENST00000416884,272,0
ENSG00000160972,ENST00000292539,1467,0
ENSG00000135269,ENST00000358204,196,0
ENSG00000138175,ENST00000260746,756,0
ENSG00000138757,ENST00000359707,2500,0
ENSG00000002549,ENST00000226299,1625,0
ENSG00000100796,ENST00000554684,3316,0
ENSG00000121058,ENST00000240316,2503,0
ENSG00000105699,ENST00000354900,1767,1
ENSG00000154174,ENST00000284320,2105,0
ENSG00000135486,ENST00000340913,177,1
ENSG00000099942,ENST00000354336,4850,1
ENSG00000197746,ENST00000394934,2154,0
ENSG00000166189,ENST00000299238,2460,1
ENSG00000062038,ENST00000264012,3362,1
ENSG00000086189,ENST00000199320,509,0
ENSG00000069482,ENST00000265643,188,0
ENSG00000113312,ENST00000231238,129,1
ENSG00000168283,ENST00000376663,2473,0
ENSG00000239264,ENST00000379757,2696,0
ENSG00000105486,ENST00000263274,2246,0
ENSG00000178057,ENST00000326925,1567,0
ENSG00000134884,ENST00000400198,1074,1
ENSG00000171345,ENST00000361566,28,0
ENSG00000174231,ENST00000572621,6249,0
ENSG00000057019,ENST00000326840,3253,0
ENSG00000125107,ENST00000317147,7418,0
ENSG00000070087,ENST00000239940,662,1
ENSG00000164924,ENST00000395957,1763,0
ENSG00000196305,ENST00000375643,3054,0
ENSG00000128309,ENST00000429360,1173,1
ENSG00000120694,ENST00000320027,417,0
ENSG00000135486,ENST00000340913,464,0
ENSG00000144354,ENST00000347703,1640,0
ENSG00000092199,ENST00000553300,1054,0
ENSG00000114978,ENST00000396049,859,0
ENSG00000169180,ENST00000565698,4022,1
ENSG00000176720,ENST00000318407,2292,1
ENSG00000101188,ENST00000482259,2688,1
ENSG00000155876,ENST00000380527,440,1
ENSG00000185651,ENST00000342192,1699,1
ENSG00000166164,ENST00000394688,1804,0
ENSG00000130312,ENST00000252602,717,1
ENSG00000143933,ENST00000272298,986,0
ENSG00000171314,ENST00000334828,1235,0
ENSG00000186591,ENST00000355621,4158,0
ENSG00000053372,ENST00000330263,1161,1
ENSG00000167085,ENST00000614445,1436,1
ENSG00000111206,ENST00000342628,2015,1
ENSG00000139641,ENST00000394048,4251,1
ENSG00000100401,ENST00000405486,3043,1
ENSG00000187051,ENST00000334678,633,1
ENSG00000142544,ENST00000421832,793,1
